timestamp,badge_id,holder,reader,event
2026-03-11T05:39:00Z,B1003,Jonas Nguyen,MAIN-ENTRANCE,IN
2026-03-11T05:42:00Z,B1035,Hana Lindqvist,MAIN-ENTRANCE,IN
2026-03-11T05:49:00Z,B1014,Ana Novak,MAIN-ENTRANCE,IN
2026-03-11T06:40:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-11T06:40:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-11T06:42:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-11T06:44:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-11T06:47:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-11T06:48:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-11T08:31:00Z,B1003,Jonas Nguyen,ROOM-A,UNLOCK
2026-03-11T08:45:00Z,B1003,Jonas Nguyen,ROOM-B,UNLOCK
2026-03-11T08:56:00Z,B1003,Jonas Nguyen,ROOM-D,UNLOCK
2026-03-11T09:00:00Z,B1003,Jonas Nguyen,ROOM-E,UNLOCK
2026-03-11T10:02:00Z,B1035,Hana Lindqvist,ROOM-D,UNLOCK
2026-03-11T10:20:00Z,B1035,Hana Lindqvist,ROOM-D,UNLOCK
2026-03-11T10:26:00Z,B1035,Hana Lindqvist,ROOM-E,UNLOCK
2026-03-11T10:34:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-11T10:58:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-11T10:58:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-11T10:59:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-11T10:59:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-11T11:00:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-11T11:02:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-11T11:04:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-11T11:05:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-11T11:05:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-11T11:05:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-11T13:37:00Z,B1035,Hana Lindqvist,MAIN-ENTRANCE,OUT
2026-03-11T13:48:00Z,B1024,Ingrid Schulz,MAIN-ENTRANCE,IN
2026-03-11T13:57:00Z,B1003,Jonas Nguyen,MAIN-ENTRANCE,OUT
2026-03-11T13:58:00Z,B1014,Ana Novak,MAIN-ENTRANCE,OUT
2026-03-11T14:58:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-11T14:58:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-11T14:59:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-11T14:59:00Z,B1024,Ingrid Schulz,ROOM-F,UNLOCK
2026-03-11T15:04:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-11T15:04:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-11T15:06:00Z,B1024,Ingrid Schulz,ROOM-A,UNLOCK
2026-03-11T15:06:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-11T20:53:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-11T20:54:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-11T20:54:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-11T20:59:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-11T21:00:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-11T21:00:00Z,B1024,Ingrid Schulz,ROOM-F,UNLOCK
2026-03-11T21:01:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-11T21:01:00Z,B1024,Ingrid Schulz,ROOM-F,UNLOCK
2026-03-11T21:02:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-11T21:05:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-11T21:07:00Z,B1024,Ingrid Schulz,ROOM-A,UNLOCK
2026-03-11T21:07:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-11T21:35:00Z,B1009,Elif Dubois,MAIN-ENTRANCE,IN
2026-03-11T21:57:00Z,B1024,Ingrid Schulz,MAIN-ENTRANCE,OUT
2026-03-11T23:04:00Z,B1009,Elif Dubois,ROOM-F,UNLOCK
2026-03-12T00:58:00Z,B1009,Elif Dubois,ROOM-C,UNLOCK
2026-03-12T05:38:00Z,B1014,Ana Novak,MAIN-ENTRANCE,IN
2026-03-12T05:39:00Z,B1003,Jonas Nguyen,MAIN-ENTRANCE,IN
2026-03-12T05:42:00Z,B1009,Elif Dubois,MAIN-ENTRANCE,OUT
2026-03-12T05:46:00Z,B1035,Hana Lindqvist,MAIN-ENTRANCE,IN
2026-03-12T07:17:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-12T07:17:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-12T07:17:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T07:17:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T07:18:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:23:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:23:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:23:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T07:24:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:24:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T07:42:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-12T07:42:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:42:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T07:43:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T07:47:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T07:49:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-12T07:50:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-12T07:50:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T08:14:00Z,B1014,Ana Novak,ROOM-E,UNLOCK
2026-03-12T08:14:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T08:15:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-12T08:18:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-12T08:20:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T08:22:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T08:39:00Z,B1035,Hana Lindqvist,ROOM-D,UNLOCK
2026-03-12T08:53:00Z,B1035,Hana Lindqvist,ROOM-A,UNLOCK
2026-03-12T09:03:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-12T10:04:00Z,B1003,Jonas Nguyen,ROOM-A,UNLOCK
2026-03-12T10:14:00Z,B1003,Jonas Nguyen,ROOM-B,UNLOCK
2026-03-12T10:21:00Z,B1003,Jonas Nguyen,ROOM-D,UNLOCK
2026-03-12T10:27:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-12T10:34:00Z,B1003,Jonas Nguyen,ROOM-E,UNLOCK
2026-03-12T11:33:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-12T11:33:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T11:34:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-12T11:34:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T11:39:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-12T11:39:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-12T11:40:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-12T11:42:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-12T13:17:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-12T13:33:00Z,B1024,Ingrid Schulz,MAIN-ENTRANCE,IN
2026-03-12T13:46:00Z,B1003,Jonas Nguyen,MAIN-ENTRANCE,OUT
2026-03-12T13:57:00Z,B1035,Hana Lindqvist,MAIN-ENTRANCE,OUT
2026-03-12T13:59:00Z,B1014,Ana Novak,MAIN-ENTRANCE,OUT
2026-03-12T14:46:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-12T14:46:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-12T14:46:00Z,B1024,Ingrid Schulz,ROOM-F,UNLOCK
2026-03-12T14:50:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-12T14:52:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-12T14:52:00Z,B1024,Ingrid Schulz,ROOM-F,UNLOCK
2026-03-12T15:27:00Z,B1024,Ingrid Schulz,ROOM-B,UNLOCK
2026-03-12T15:27:00Z,B1024,Ingrid Schulz,ROOM-C,UNLOCK
2026-03-12T15:28:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-12T15:31:00Z,B1024,Ingrid Schulz,ROOM-D,UNLOCK
2026-03-12T15:34:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-12T15:35:00Z,B1024,Ingrid Schulz,ROOM-E,UNLOCK
2026-03-12T21:33:00Z,B1009,Elif Dubois,MAIN-ENTRANCE,IN
2026-03-12T21:41:00Z,B1024,Ingrid Schulz,MAIN-ENTRANCE,OUT
2026-03-13T02:29:00Z,B1009,Elif Dubois,ROOM-E,UNLOCK
2026-03-13T03:09:00Z,B1009,Elif Dubois,ROOM-D,UNLOCK
2026-03-13T05:33:00Z,B1003,Jonas Nguyen,MAIN-ENTRANCE,IN
2026-03-13T05:37:00Z,B1014,Ana Novak,MAIN-ENTRANCE,IN
2026-03-13T05:39:00Z,B1009,Elif Dubois,MAIN-ENTRANCE,OUT
2026-03-13T05:42:00Z,B1035,Hana Lindqvist,MAIN-ENTRANCE,IN
2026-03-13T07:57:00Z,B1035,Hana Lindqvist,ROOM-A,UNLOCK
2026-03-13T07:57:00Z,B1035,Hana Lindqvist,ROOM-D,UNLOCK
2026-03-13T08:09:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-13T08:22:00Z,B1035,Hana Lindqvist,ROOM-E,UNLOCK
2026-03-13T10:18:00Z,B1003,Jonas Nguyen,ROOM-A,UNLOCK
2026-03-13T10:23:00Z,B1003,Jonas Nguyen,ROOM-B,UNLOCK
2026-03-13T10:33:00Z,B1035,Hana Lindqvist,ROOM-B,UNLOCK
2026-03-13T10:34:00Z,B1003,Jonas Nguyen,ROOM-D,UNLOCK
2026-03-13T10:47:00Z,B1003,Jonas Nguyen,ROOM-E,UNLOCK
2026-03-13T12:11:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-13T12:11:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
2026-03-13T12:12:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-13T12:17:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-13T12:18:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-13T12:18:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-13T13:05:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-13T13:05:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-13T13:06:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-13T13:08:00Z,B1014,Ana Novak,ROOM-F,UNLOCK
2026-03-13T13:09:00Z,B1014,Ana Novak,ROOM-A,UNLOCK
2026-03-13T13:09:00Z,B1014,Ana Novak,ROOM-D,UNLOCK
2026-03-13T13:10:00Z,B1014,Ana Novak,ROOM-C,UNLOCK
2026-03-13T13:11:00Z,B1014,Ana Novak,ROOM-B,UNLOCK
